State/UT,Deaths_2020_2023,Deaths_2023_2024,Total_Deaths_through_2024_12_31
AandN Islands,129,0,129
Andaman and Nicobar Islands Islands,0,0,0
Andhra Pradesh,14733,0,14733
Arunachal Pradesh,296,0,296
Assam,8035,3,8038
Bihar,12312,2,12314
Chandigarh,1185,1,1186
Chhattisgarh,14181,23,14204
Dadra and Nagar Haveli and Daman and Diu,4,0,4
Delhi,26637,63,26700
Goa,4014,0,4014
Gujarat,11074,26,11100
Haryana,10740,46,10786
Himachal Pradesh,4238,9,4247
JandK (UT),4790,2,4792
Jharkhand,5333,4,5337
Karnataka,40351,60,40411
Kerala,71861,273,72134
Ladakh,231,0,231
Lakshadweep,52,0,52
Madhya Pradesh,10786,1,10787
Maharashtra,148532,68,148600
Manipur,2149,0,2149
Meghalaya,1626,2,1628
Mizoram,727,7,734
Nagaland,782,0,782
Odisha,9213,2,9215
Puducherry,1981,1,1982
Punjab,19320,1279,20599
Rajasthan,9709,34,9743
Sikkim,500,1,501
Tamil Nadu,38073,12,38085
Telangana,4111,0,4111
Tripura,940,3,943
Uttar Pradesh,23692,50,23742
Uttarakhand,7764,14,7778
West Bengal,21541,16,21557
